#  STN,YYYYMMDD,TG,TN,TX
    10, 20170101,  40,   5,   92
    10,20170102,  -10,  -19,   10
    10,20170103,  -31,  -56,   -6
    10,20170104,  -43,  -72,    0
    10,20170105, -102, -118,  -69
    10,20170106,  -94, -138,  -57
    10,20170107,  -36,  -65,  -18
    10,20170108,  -41,  -66,  -13
    10,20170109,   15,  -13,   33
    10,20170110,   18,   11,   34
    10,20170111,   11,    0,   23
    10,20170112,   22,    0,   29
    10,20170113,   13,    6,   24
    10,20170114,  -15,  -38,    7
    10,20170115,  -28,  -45,  -11
    10,20170116,  -25,  -48,   -7
    10,20170117,  -28,  -51,   -8
    10,20170118,   18,   -9,   32
    10,20170119,   43,   27,   58
    10,20170120,   39,   21,   62
    10,20170121,   26,    8,   54
    10,20170122,   11,   -6,   34
    10,20170123,   22,   11,   33
    10,20170124,    0,  -11,   11
    10,20170125,   11,  -10,   29
    10,20170126,   41,   29,   48
    10,20170127,    3,  -10,   37
    10,20170128,  -15,  -28,    2
    10,20170129,    4,  -27,   22
    10,20170130,   26,   -2,   44
    10,20170131,   19,   13,   37
    10,20170201,    1,   -5,   18
    10,20170202,   -2,  -16,    9
    10,20170203,    0,   -5,    7
    10,20170204,   15,    3,   23
    10,20170205,    5,   -2,   12
    10,20170206,  -19,  -32,    9
    10,20170207,  -45,  -51,  -27
    10,20170208,  -36,  -49,  -17
    10,20170209,  -34,  -53,  -14
    10,20170210,  -18,  -35,    0
    10,20170211,  -26,  -44,   -5
    10,20170212,  -23,  -46,    0
    10,20170213,   -2,  -24,   25
    10,20170214,   26,  -13,   65
    10,20170215,   24,   -8,   71
    10,20170216,   15,  -16,   41
    10,20170217,   30,   11,   59
    10,20170218,   15,  -21,   66
    10,20170219,   56,   18,   72
    10,20170220,   47,   36,   62
    10,20170221,   -1,  -10,   51
    10,20170222,   10,  -29,   29
    10,20170223,   -6,  -13,   31
    10,20170224,  -26,  -58,    4
    10,20170225,  -15,  -42,    9
    10,20170226,    1,   -9,   11
    10,20170227,   18,  -12,   47
    10,20170228,   39,   31,   49
    10,20170301,   33,   12,   56
    10,20170302,   33,   20,   55
    10,20170303,   13,    7,   27
    10,20170304,   -5,  -12,   12
    10,20170305,  -19,  -25,   -8
    10,20170306,  -16,  -22,    0
    10,20170307,  -26,  -42,   -9
    10,20170308,  -16,  -27,   -5
    10,20170309,   19,  -22,   34
    10,20170310,   26,   11,   48
    10,20170311,   17,  -17,   56
    10,20170312,   39,    0,   75
    10,20170313,   40,   22,   75
    10,20170314,   57,   22,   80
    10,20170315,   68,   41,   99
    10,20170316,   50,   20,   84
    10,20170317,   62,   48,   87
    10,20170318,   35,    5,   72
    10,20170319,   11,  -18,   50
    10,20170320,   14,   -6,   30
    10,20170321,   47,    4,   91
    10,20170322,   53,   16,   85
    10,20170323,   41,    2,   75
    10,20170324,   39,  -11,   78
    10,20170325,   59,   20,   96
    10,20170326,  112,   39,  175
    10,20170327,  123,   67,  171
    10,20170328,   51,   26,  144
    10,20170329,   20,    6,   35
    10,20170330,   24,   -3,   70
    10,20170331,   23,    8,   33
    10,20170401,   67,   20,  121
    10,20170402,  104,   69,  144
    10,20170403,   44,    4,  117
    10,20170404,   70,    7,  127
    10,20170405,   76,   57,  120
    10,20170406,   57,   20,   98
    10,20170407,   65,   32,  116
    10,20170408,   62,   26,  100
    10,20170409,   98,   54,  143
    10,20170410,   89,   72,  117
    10,20170411,   60,   41,   85
    10,20170412,   33,   20,   69
    10,20170413,   17,    1,   30
    10,20170414,    2,  -16,   30
    10,20170415,    3,  -42,   54
    10,20170416,  -12,  -32,   12
    10,20170417,    9,  -32,   52
    10,20170418,   11,  -23,   38
    10,20170419,   49,  -11,  102
    10,20170420,   55,   16,   90
    10,20170421,   74,   38,  135
    10,20170422,   61,   31,   90
    10,20170423,   53,   13,   95
    10,20170424,   43,    6,   94
    10,20170425,   24,    4,   47
    10,20170426,   37,    6,   69
    10,20170427,   64,   10,  107
    10,20170428,   50,   27,   96
