unit,duration,partner,age,geo\time	2012 	2013 	2014 	2015 	2016 	2017 
NR,N_GE1,WORLD,Y15-24,AT	866000 	885708 	835656 	856937 	856379 	: 
NR,N_GE1,WORLD,Y15-24,BE	554736 	715380 	712094 	803046 	825873 	: 
NR,N_GE1,WORLD,Y15-24,BG	197690 	244851 	222937 	261955 	293753 	: 
NR,N_GE1,WORLD,Y15-24,CH	626205 u	762080 	709420 	702903 	812283 	: 
NR,N_GE1,WORLD,Y15-24,CY	104826 e	38463 e	95211 e	101419 e	102211 e	: 
NR,N_GE1,WORLD,Y15-24,CZ	967931 	938640 	1003236 	942844 	895888 	: 
NR,N_GE1,WORLD,Y15-24,DE	7252334 	7716422 	7222998 	7157759 	7713102 	6495701 
NR,N_GE1,WORLD,Y15-24,DK	609785 e	617451 	666535 	607522 	669787 	: 
NR,N_GE1,WORLD,Y15-24,EE	120096 	103589 	124864 	96233 	120163 u	: 
NR,N_GE1,WORLD,Y15-24,EL	469815 	402894 	470253 	448170 	393676 	: 
NR,N_GE1,WORLD,Y15-24,ES	2481582 	2551209 	2392527 	3693753 b	3777444 	: 
NR,N_GE1,WORLD,Y15-24,FI	653757 	623715 	621954 	605433 	619578 	: 
NR,N_GE1,WORLD,Y15-24,FR	4771249 	5010235 	4982277 	4893537 	4658598 	: 
NR,N_GE1,WORLD,Y15-24,HR	445295 	432086 	422990 	339392 b	322532 	: 
NR,N_GE1,WORLD,Y15-24,HU	613570 	584811 	613349 	610466 	583248 	: 
NR,N_GE1,WORLD,Y15-24,IE	352576 	365887 	382994 	407962 	422838 	435224 
NR,N_GE1,WORLD,Y15-24,IT	3284245 	3038858 	2574708 b	2645136 	2772285 	: 
NR,N_GE1,WORLD,Y15-24,LT	242676 	272762 	285745 	282012 	276342 	: 
NR,N_GE1,WORLD,Y15-24,LU	49716 	58496 	55832 	56890 	57247 	: 
NR,N_GE1,WORLD,Y15-24,LV	126195 	144590 	142865 	135289 	149612 	: 
NR,N_GE1,WORLD,Y15-24,ME	: 	: 	: 	: 	: c	: 
NR,N_GE1,WORLD,Y15-24,MT	34279 	37879 	37591 	33541 	37337 	: 
NR,N_GE1,WORLD,Y15-24,NL	1829089 	1845392 	1803940 	1700482 	1801477 	: 
NR,N_GE1,WORLD,Y15-24,NO	: 	572880 	: 	: 	: 	: 
NR,N_GE1,WORLD,Y15-24,PL	3840000 	3650000 	3100683 	3136914 	3334175 	: 
NR,N_GE1,WORLD,Y15-24,PT	444989 	460618 	475751 	483131 	498146 	: 
NR,N_GE1,WORLD,Y15-24,RO	699148 	710012 	702055 	683157 	617428 	: 
NR,N_GE1,WORLD,Y15-24,SE	: u	: 	661730 	1067139 	1058921 	: 
NR,N_GE1,WORLD,Y15-24,SI	187933 	177531 e	171684 e	155291 	175648 	: 
NR,N_GE1,WORLD,Y15-24,SK	443237 	517396 b	401957 	425967 	489166 	: 
NR,N_GE1,WORLD,Y15-24,UK	4630000 	4780000 	4301200 	4820900 	4330750 	: 
NR,N_GE1,WORLD,Y25-34,AT	840487 	862848 	901237 	932294 	1003562 	: 
NR,N_GE1,WORLD,Y25-34,BE	675671 	833055 	800365 	806225 	691699 	: 
NR,N_GE1,WORLD,Y25-34,BG	283130 	270903 	394423 	401311 	374318 	: 
NR,N_GE1,WORLD,Y25-34,CH	964423 	893010 	952029 	1113017 	1051690 	: 
NR,N_GE1,WORLD,Y25-34,CY	118590 e	111198 e	102902 e	109040 e	112298 e	: 
NR,N_GE1,WORLD,Y25-34,CZ	1283515 	1159748 	1297529 	1277215 	1221069 	: 
NR,N_GE1,WORLD,Y25-34,DE	8210723 	8210245 	8094925 	8343022 	8489363 	8934210 
NR,N_GE1,WORLD,Y25-34,DK	544537 e	526142 	571244 	547994 	580296 	: 
NR,N_GE1,WORLD,Y25-34,EE	155030 	152205 	170563 	161994 	164475 	: 
NR,N_GE1,WORLD,Y25-34,EL	635366 	502412 	623687 	539887 	522665 	: 
NR,N_GE1,WORLD,Y25-34,ES	3629731 	3392128 	3203181 	4137068 b	4179825 	: 
NR,N_GE1,WORLD,Y25-34,FI	666037 	678002 	669667 	671536 	679952 	: 
NR,N_GE1,WORLD,Y25-34,FR	6383233 	6155647 	6000459 	5915651 	5864417 	: 
NR,N_GE1,WORLD,Y25-34,HR	376058 	308236 	210322 	243632 b	319630 	: 
NR,N_GE1,WORLD,Y25-34,HU	749874 	780581 	791256 	735029 	759415 	: 
NR,N_GE1,WORLD,Y25-34,IE	519960 	482058 	504007 	466348 	488164 	456266 
NR,N_GE1,WORLD,Y25-34,IT	3852438 	3309093 	2760576 b	2837882 	3188922 	: 
NR,N_GE1,WORLD,Y25-34,LT	275868 	280308 	270237 	279899 	272444 	: 
NR,N_GE1,WORLD,Y25-34,LU	65261 	72066 	70496 	76203 	36851 	: 
NR,N_GE1,WORLD,Y25-34,LV	167749 	205878 	196008 	191812 	204105 	: 
NR,N_GE1,WORLD,Y25-34,ME	: 	: 	: 	: 	: c	: 
NR,N_GE1,WORLD,Y25-34,MT	35016 	33550 	47030 	47864 	58716 	: 
NR,N_GE1,WORLD,Y25-34,NL	1823246 	1773657 	1742535 	1783750 	1791622 	: 
NR,N_GE1,WORLD,Y25-34,NO	: 	541620 	: 	: 	: 	: 
NR,N_GE1,WORLD,Y25-34,PL	3990000 	3750000 	3437485 	3495168 	3557304 	: 
NR,N_GE1,WORLD,Y25-34,PT	524014 	557491 	475278 	476422 	443179 	: 
NR,N_GE1,WORLD,Y25-34,RO	936769 	1108085 	1032765 	1065665 	966973 	: 
NR,N_GE1,WORLD,Y25-34,SE	: u	: 	776660 	1032372 	974635 	: 
NR,N_GE1,WORLD,Y25-34,SI	212935 	217713 e	224868 e	216698 	211341 	: 
NR,N_GE1,WORLD,Y25-34,SK	528469 	466333 b	461167 	503000 	657111 	: 
NR,N_GE1,WORLD,Y25-34,UK	6176000 	5962000 	6164300 	5539200 	6207180 	: 
NR,N_GE1,WORLD,Y25-44,AT	1868386 	1812361 	1844788 	1858036 	1926792 	: 
NR,N_GE1,WORLD,Y25-44,BE	1519018 	1763148 	1854133 	1730113 	1744884 	: 
NR,N_GE1,WORLD,Y25-44,BG	550179 	594914 	739527 	783861 	818837 	: 
NR,N_GE1,WORLD,Y25-44,CH	2038668 	1919002 	2063966 	2155442 	2074833 	: 
NR,N_GE1,WORLD,Y25-44,CY	215111 e	209906 e	186417 e	195937 e	202258 e	: 
NR,N_GE1,WORLD,Y25-44,CZ	2648655 	2527008 	2892206 	2855697 	2773773 	: 
NR,N_GE1,WORLD,Y25-44,DE	17658440 	17018945 	17027094 	16833073 	16277204 	16189390 
NR,N_GE1,WORLD,Y25-44,DK	1194868 e	1149916 	1230262 	1126698 	1219579 	: 
NR,N_GE1,WORLD,Y25-44,EE	295246 	289173 	327915 	310608 	309748 	: 
NR,N_GE1,WORLD,Y25-44,EL	1383800 	1187767 	1433416 	1263740 	1259654 	: 
NR,N_GE1,WORLD,Y25-44,ES	8320961 	8159359 	7961483 	9664458 b	9843112 	: 
NR,N_GE1,WORLD,Y25-44,FI	1282279 	1289284 	1305066 	1318707 	1331586 	: 
